"","code","name","year","service","childage","childcount","servicecount","hrfee","hrstd"
"1",20601,"Brunswick - Coburg","FY201415","BSC","2: 5-9","960","16","$10.15","$3.30"
"2",20602,"Darebin - South","FY201415","BSC","2: 5-9","770","10","$9.10","$2.70"
"3",20603,"Essendon","FY201415","BSC","2: 5-9","760","12","$11.25","$3.25"
"4",20604,"Melbourne City","FY201415","BSC","2: 5-9","410","7","$8.60","$2.55"
"5",20605,"Port Phillip","FY201415","BSC","2: 5-9","680","11","$10.85","$4.30"
"6",20606,"Stonnington - West","FY201415","BSC","2: 5-9","240","5","$11.20","$4.65"
"7",20607,"Yarra","FY201415","BSC","2: 5-9","730","12","$8.90","$1.95"
"8",20701,"Boroondara","FY201415","BSC","2: 5-9","1,770","33","$12.20","$4.35"
"9",20702,"Manningham - West","FY201415","BSC","2: 5-9","640","14","$9.50","$2.90"
"10",20703,"Whitehorse - West","FY201415","BSC","2: 5-9","1,050","17","$10.95","$4.95"
"11",20801,"Bayside","FY201415","BSC","2: 5-9","1,150","20","$11.25","$2.25"
"12",20802,"Glen Eira","FY201415","BSC","2: 5-9","1,460","21","$8.75","$2.40"
"13",20803,"Kingston","FY201415","BSC","2: 5-9","1,190","21","$9.15","$1.75"
"14",20804,"Stonnington - East","FY201415","BSC","2: 5-9","400","8","$12.85","$4.00"
"15",20901,"Banyule","FY201415","BSC","2: 5-9","1,970","34","$8.40","$1.55"
"16",20902,"Darebin - North","FY201415","BSC","2: 5-9","670","11","$7.35","$2.25"
"17",20903,"Nillumbik - Kinglake","FY201415","BSC","2: 5-9","1,040","20","$7.45","$1.80"
"18",20904,"Whittlesea - Wallan","FY201415","BSC","2: 5-9","1,710","31","$9.60","$2.60"
"19",21001,"Keilor","FY201415","BSC","2: 5-9","510","11","$10.00","$2.05"
"20",21002,"Macedon Ranges","FY201415","BSC","2: 5-9","300","7","$9.00","$2.10"
"21",21003,"Moreland - North","FY201415","BSC","2: 5-9","360","11","$9.05","$2.35"
"22",21004,"Sunbury","FY201415","BSC","2: 5-9","460","9","$9.85","$1.05"
"23",21005,"Tullamarine - Broadmeadows","FY201415","BSC","2: 5-9","1,030","23","$8.60","$2.10"
"24",21101,"Knox","FY201415","BSC","2: 5-9","1,320","35","$9.70","$2.85"
"25",21102,"Manningham - East","FY201415","BSC","2: 5-9","320","8","$9.40","$1.50"
"26",21103,"Maroondah","FY201415","BSC","2: 5-9","1,150","20","$8.60","$1.85"
"27",21104,"Whitehorse - East","FY201415","BSC","2: 5-9","710","13","$8.40","$2.50"
"28",21105,"Yarra Ranges","FY201415","BSC","2: 5-9","1,700","40","$7.60","$1.95"
"29",21201,"Cardinia","FY201415","BSC","2: 5-9","600","13","$8.30","$1.90"
"30",21202,"Casey - North","FY201415","BSC","2: 5-9","1,200","23","$10.00","$3.95"
"31",21203,"Casey - South","FY201415","BSC","2: 5-9","1,100","22","$8.70","$1.55"
"32",21204,"Dandenong","FY201415","BSC","2: 5-9","660","22","$8.45","$2.60"
"33",21205,"Monash","FY201415","BSC","2: 5-9","1,710","35","$9.65","$2.95"
"34",21301,"Brimbank","FY201415","BSC","2: 5-9","810","23","$9.10","$2.60"
"35",21302,"Hobsons Bay","FY201415","BSC","2: 5-9","1,070","18","$9.25","$2.10"
"36",21303,"Maribyrnong","FY201415","BSC","2: 5-9","730","11","$8.85","$2.10"
"37",21304,"Melton - Bacchus Marsh","FY201415","BSC","2: 5-9","1,430","25","$9.05","$1.05"
"38",21305,"Wyndham","FY201415","BSC","2: 5-9","1,900","36","$8.25","$2.10"
"39",21401,"Frankston","FY201415","BSC","2: 5-9","970","18","$8.60","$2.40"
"40",21402,"Mornington Peninsula","FY201415","BSC","2: 5-9","1,120","24","$8.85","$2.25"
